ID_REF,GSM759848,GSM759849,GSM759850,GSM759851,GSM759852
1761931_s_at,867.3083,759.2814,696.2596,785.556,697.1235
1761932_s_at,1293.71,1152.536,1178.417,1438.621,1837.72
1761933_s_at,0.5245378,0.9396603,10.37382,3.586866,2.010994
1761934_s_at,430.7104,466.3621,249.4773,382.4637,253.1796
1761935_x_at,559.3179,558.6452,261.0757,464.2903,132.8263
1761936_s_at,9.026968,7.16497,16.69112,1.058924,3.715591
1761937_s_at,1642.323,1938.436,2364.203,2033.036,1987.641
1761938_s_at,3.27787,0.51156,1.753249,10.87429,11.04894
1761939_s_at,726.07,723.804,486.5092,734.2612,395.818
1761940_s_at,436.9755,414.7643,275.8014,428.8853,207.8195
1761941_s_at,799.4335,833.6646,974.6212,809.7007,1180.071
1761942_s_at,13.46276,11.81206,2.549703,14.43143,22.05823
1761943_s_at,653.5714,541.879,321.438,583.751,315.7198
1761944_s_at,751.8135,638.963,482.7523,771.8465,362.4627
1761945_x_at,23.32335,49.92376,63.5363,41.84154,7.257382
1761946_at,5.291409,6.769491,9.427643,2.760047,0.6618996
1761947_at,21.86278,21.7604,19.42083,17.70675,18.36133
1761948_s_at,606.5868,592.4263,515.6977,749.4125,317.3797
1761949_s_at,1.534001,0.7200735,9.51895,0.5793415,1.804065
1761950_s_at,2274.722,2633.555,3929.909,1970.256,5843.894
1761951_s_at,18.8961,10.37062,9.837603,2.616691,24.59275
1761952_at,2316.345,2383.157,4195.994,2455.75,5830.982
1761953_s_at,1273.58,1386.251,1760.277,1222.797,1442.608
1761954_s_at,6.166556,8.917746,14.04174,8.487436,0.3292525
1761955_at,308.739,260.4227,150.5384,185.3516,134.7002
1761957_s_at,5.508062,8.294795,1.408855,8.19296,1.645858
1761958_s_at,2066.68,1989.936,2409.14,1406.993,2314.591
1761959_s_at,538.2144,528.7133,218.3444,455.4541,111.169
1761960_s_at,5.219341,20.33356,34.05341,21.65926,49.51495
1761961_s_at,3.84919,0.6029835,8.967669,0.3989919,1.463057
1761962_s_at,1330.797,1707.757,1438.485,1396.71,1785.165
1761963_s_at,1.267591,2.05161,0.9576189,0.4392782,2.591965
1761964_s_at,919.6005,1030.001,1016.052,855.2397,1178.733
1761965_s_at,493.6411,570.6108,494.9267,535.536,210.832
1761966_at,11.03107,4.088955,24.00439,2.77309,31.05196
1761967_at,4.460202,12.17157,25.68174,1.710566,15.90293
1761968_at,2.168946,14.51163,6.102326,3.855755,9.958024
1761969_s_at,884.2973,760.8344,480.1645,875.1771,282.4077
1761970_s_at,476.4016,491.4239,209.6967,380.5647,154.8353
1761971_s_at,973.0898,796.0592,572.9237,894.3333,665.1758
1761972_at,387.4044,484.6003,192.4596,461.796,165.3438
1761973_s_at,977.9042,1046.908,905.6342,927.6633,1271.809
1761974_s_at,12.60324,10.50251,6.807305,12.33445,25.4021
1761975_s_at,1.62835,7.171534,6.218765,1.602045,5.178938
1761976_s_at,931.2736,828.8044,847.6084,766.8387,779.6556
1761977_s_at,46.53399,24.83194,10.46073,16.32698,50.68486
