ID	Gene Symbol
1759804_s_at	ECs4849 /// fpr
1759806_s_at	ECs1834 /// trpC /// trpC
1759807_s_at	ECs2808 /// yoeF /// Z3167
1759808_s_at	fadB
1759810_s_at	citT /// ECs0651 /// ybdS
1759811_s_at	ECs1237 /// Z1490
1759812_s_at	znuC /// znuC
1759813_s_at	gabD
1759814_s_at	ECs5229 /// yjgK /// yjgK
1759816_at	ugpB
1759817_s_at	frwC /// frwC
1759818_s_at	ECs3610 /// Z4065
1759819_at	c5061
1759820_at	ycaI
1759821_s_at	ECs4702 /// ilvG /// ilvG
1759822_at	c4777
1759823_at	c4565
1759824_at	fdrA
1759825_s_at	ECs3754 /// Z4220
1759826_s_at	cysH /// cysH
1759828_s_at	ECs1618 /// ybcO
1759829_s_at	hdeB
1759830_at	c0976
1759831_at	fecA
1759832_s_at	ECs2071 /// narZ
1759833_s_at	c4981 /// ECs4941 /// Z5613
1759834_s_at	araH /// araH
1759835_s_at	mdoD /// mdoD
1759836_at	rtn
1759837_s_at	csgG /// csgG /// csgG /// ECs1414
1759839_s_at	yrhB /// yrhB
1759840_at	ygaM
1759841_s_at	c2676
1759842_s_at	lolB /// lolB
1759843_at	ECs4981
1759844_at	kpsS
1759845_s_at	ECs4456 /// yiaI /// yiaI /// ysaA
1759847_s_at	nadK /// ppnK
1759850_s_at	ECs1987 /// Z1378 /// Z3313
1759851_at	pgtC
1759853_s_at	ECs1008 /// ycbB /// ycbB
1759854_s_at	c1583 /// c3162 /// ECs1641 /// Z1895
1759855_at	phnM
1759856_at	c1596
1759857_s_at	kup /// trkD
1759858_x_at	c1062
1759861_s_at	murG
1759862_s_at	artQ /// artQ
1759863_s_at	ECs1069 /// Z1333
1759865_s_at	atpE /// atpE /// ECs4679
1759866_s_at	ECs0934 /// potF
1759867_s_at	ECs4922 /// yjaG /// yjaG
1759869_at	gntP
1759871_at	waaW
1759872_s_at	c5225
1759873_s_at	ECs2558 /// yebG /// yebG
1759876_at	c5386
1759877_at	c3406
1759878_s_at	agaW /// c3889 /// ECs4012 /// Z4486
1759879_at	ilvY
1759880_s_at	ECs4938 /// yjbB /// yjbB /// yjbB
1759881_s_at	ECs0049 /// kefF /// yabF
1759882_s_at	ECs0820 /// Z0961
1759883_s_at	c2235 /// ECs5463 /// yobH /// Z2873
1759885_at	c0951
